time,n_cam_on,n_cam_off
10:00,0,11
10:01,0,13
10:02,0,14
10:03,0,14
10:04,0,14
10:05,5,9
10:22,5,9
10:34,5,14
10:36,5,14
10:43,2,13
10:48,3,12
11:10,3,9
11:20,3,8
11:41,2,9
11:45,2,9
11:52,2,8
11:54,1,9
13:01,0,9
13:02,0,9
13:15,0,9
13:27,0,10
13:39,0,10
13:40,0,11
13:49,0,11
15:01,0,11
15:05,0,11
15:26,0,10
15:30,0,10
15:36,0,9
15:41,0,9
